Skills,Description,Percentage of new career starts,Percentage of pay increase or promotion,Estimated Time to Complete,Instructors
,"Today, there is demand for people skilled in Sports Marketing.  Organizations want your expertise to strength and grow customer bases and teams want to enlarge their fan base, attract new sponsors to their sport, build strong programs with existing sponsors, and run their fan conventions and other events.  In addition, a wide range of companies recognize the value sports relationships have in positioning and building their brands.  In this Sports Marketing MOOC, you will learn:— Ticket pricing strategies
— How a crisis might happen in sport
— How all types of companies are using sports to enhance and position their brands
— How to promote and market a sporting event
— How to develop sponsorships
— How to use social media to grow your team’s follower base and promote your sporting events, conferences and conventions

The Sports Marketing MOOC was created by Professor Candy Lee of Northwestern’s Medill School of Journalism and Integrated Marketing Communications.  She is joined by experts in the many specialty topics important to Sports Marketing.",Missing,Missing,Approx. 13 hours to complete,Candy Lee
"Marketing Plan,Market Research,Positioning (Marketing),Value Proposition,Consumer Behaviour,Data Analysis,Market Segmentation,Marketing Process,Market Analysis,Planning,Marketing Strategy","Do you hear the word “marketing” on a daily basis, but aren’t sure what marketing really is or why your business needs it? Do you know that marketing is important to your company, product, or service, but aren’t sure where to start?

Cover the concepts and tools you need to successfully develop a marketing strategy for a business, product or service. Begin by understanding consumers and the main market research techniques, then learn how to correctly segment, target and position your product to achieve success. Continue by analyzing the four critical areas in marketing, the famous four Ps of Product, Price, Promotion and Place. Finally, get the backing your ideas deserve and communicate the actions through a Marketing Plan.

In the final capstone project you will develop a Marketing Plan for a product or service.",80.0,25.0,Approx. 6 months to complete,"Ramon Diaz-Bernardo,Shameek Sinha,Ignacio Gafo,Fernando Cortiñas,Maria Teresa Aranzabal"
"Financial Accounting,Accounting,Financial Statement,Balance Sheet","Master the technical skills needed to analyze financial statements and disclosures for use in financial analysis, and learn how accounting standards and managerial incentives affect the financial reporting process. By the end of this course, you’ll be able to read the three most common financial statements: the income statement, balance sheet, and statement of cash flows. Then you can apply these skills to a real-world business challenge as part of the Wharton Business Foundations Specialization.",Missing,Missing,Approx. 12 hours to complete,Brian J Bushee
,"Despite the recent increase in computing power and access to data over the last couple of decades, our ability to use the data within the decision making process is either lost or not maximized at all too often, we don't have a solid understanding of the questions being asked and how to apply the data correctly to the problem at hand.This course has one purpose, and that is to share a methodology that can be used within data science, to ensure that the data used in problem solving is relevant and properly manipulated to address the question at hand.

Accordingly, in this course, you will learn:
    - The major steps involved in tackling a data science problem.
    - The major steps involved in practicing data science, from forming a concrete business or research problem, to collecting and analyzing data, to building a model, and understanding the feedback after model deployment.
    - How data scientists think!

LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Missing,Missing,Approx. 9 hours to complete,"Alex Aklson,Polong Lin"
"Interactive Storytelling,Game Design Document,Video Game Design,Game Design,Video Game Development,Gameplay,Level Design,Art","Stemming from the principles of storytelling and design established in CalArts’ renowned Animation programs, this Specialization lays a primary foundation for experimentation and exploration of video game design, story, character development, and winning gameplay before programming begins. These four courses emphasize the self-reliance and personal expression of the gaming artist, and encourage you to take conceptual risks and develop new modes of expression and form through gaming. In the final Capstone Project, you’ll put your creative skills to work by generating an engaging game design document for a personal game project, outlining the conceptual, narrative and aesthetic elements of your game.",67.0,25.0,Approx. 6 months to complete,"Fran KrauseTop Instructor,Dariush Derakhshani,Théotime Vaillant"
"Predictive Analytics,Customer Analytics,Regression Analysis,Marketing Performance Measurement And Management","Data about our browsing and buying patterns are everywhere.  From credit card transactions and online shopping carts, to customer loyalty programs and user-generated ratings/reviews, there is a staggering amount of data that can be used to describe our past buying behaviors, predict future ones, and prescribe new ways to influence future purchasing decisions. In this course, four of Wharton’s top marketing professors will provide an overview of key areas of customer analytics: descriptive analytics, predictive analytics, prescriptive analytics, and their application to real-world business practices including Amazon, Google, and Starbucks to name a few. This course provides an overview of the field of analytics so that you can make informed business decisions. It is an introduction to the theory of customer analytics, and is not intended to prepare learners to perform customer analytics. Course Learning Outcomes: 

After completing the course learners will be able to...

Describe the major methods of customer data collection used by companies and understand how this data can inform business decisions

Describe the main tools used to predict customer behavior and identify the appropriate uses for each tool 

Communicate key ideas about customer analytics and how the field informs business decisions

Communicate the history of customer analytics and latest best practices at top firms",Missing,Missing,Approx. 8 hours to complete,"Eric Bradlow,Peter Fader,Raghu Iyengar,Ron Berman"
,"This specialization introduces the Go programming language from Google and provides learners with an overview of Go's special features. Upon completing the three-course sequence, learners will have gained the knowledge and skills needed to create concise, efficient, and clean applications using Go.",47.0,25.0,Approx. 3 months to complete,Ian Harris
"Brain,Neurological Disorders,Neurobiology,Neurology","Learn how the nervous system produces behavior, how we use our brain every day, and how neuroscience can explain the common problems afflicting people today. We will study functional human neuroanatomy and neuronal communication, and then use this information to understand how we perceive the outside world, move our bodies voluntarily, stay alive, and play well with others.",Missing,Missing,Approx. 28 hours to complete,Peggy MasonTop Instructor
"Trading Strategy,Algorithmic Trading,Financial Ratio,Trading,Cost,Financial Statement,Post-Earnings-Announcement Drift (PEAD),F1 Score","This Specialization equips individual investors and money managers with the skills required to develop their own trading strategies and test them. When you complete the Specialization, you’ll be ready to apply eight ready-made trading strategies, based on rigorous academic research, that have been shown to be. You’ll also be able to design your own trading strategy, back test it, and measure its performance.",38.0,38.0,Approx. 6 months to complete,"Ramabhadran Thirumalai,Prasanna Tantri"
"Education,Sensory Integration,Diagnostic Evaluation,Autism Spectrum Disorder (ASD)","Understanding the characteristics of autism spectrum disorder (ASD) and their implications for behavior, learning and the ability to process information is critical for anyone working or interacting with those on the spectrum -- educators, clinicians, counselors, therapists, medical staff, family and employers. This course will give you a fundamental understanding of what ASD is, how it is diagnosed, the primary areas of impairment, and why prevalence is increasing. Examine the developmental and sensori-motor differences that may impact academic, play, social and self-help skills at different stages of life, including the transition to higher education and employment. Gain a clear understanding of how sensory regulation differs for individuals on the spectrum, and explore practical tools for identifying triggers and communicating feelings.  Learn to use evidence-based practices to provide effective interventions and explore typical strengths and weaknesses of individuals on the spectrum in relation to identified impairments. 

The course culminates with a description of the ASD system of care, an overview of the National Standards Report studies and treatments, and an explanation of how evidence-based practices are established and implemented.

Those seeking a more in-depth, instructor-led experience are encouraged to check out the Professional Concentration in Autism offered by UC Davis Extension: https://extension.ucdavis.edu/certificate-program/professional-concentration-autism-spectrum-disorders",Missing,Missing,Approx. 5 hours to complete,Patricia Schetter
"Delegation,Leadership,Coaching,Supervision","Este programa especializado está dirigido a personas que trabajen en instituciones públicas y/o privadas que ocupan un puesto en mandos medios o superiores que deseen mejorar notablemente su desempeño directivo. También, es para cualquier persona que desea desarrollar su potencial y prepararse para ocupar puestos en niveles gerenciales.",36.0,33.0,Approx. 6 months to complete,"Miguel Angel Ruíz ,Patricia Benítez Corona "
"Financial Accounting,Capital Budgeting,Corporate Finance,Finance","This short course surveys all the major topics covered in a full semester MBA level finance course, but with a more intuitive approach on a very high conceptual level.  The goal here is give you a roadmap and framework for how financial professional make decisions.  We will cover the basics of financial valuation, the time value of money, compounding returns, and discounting the future.  You will understand discounted cash flow (DCF) valuation and how it compares to other methods.  We also step inside the mind of a corporate financial manager and develop the basic tools of capital budgeting.  We will survey the how, when, and where to spend money, make tradeoffs about investment, growth, dividends, and how to ensure sound fiscal discipline.  Our journey then turns to a Wall Street or capital markets perspective of investments as we discuss the fundamental tradeoff between risk and return.  We then synthesize our discussion of risk with our valuation framework and incorporate it into series of direct applications to practice.

This course requires no prior familiarity with finance.  Rather, it is intended to be a first step for anyone who is curious about understanding stock markets, valuation, or corporate finance.  We will walk through all of the tools and quantitative analysis together and develop a guide for understanding the seemingly complex decisions that finance professionals make.  

By the end of the course, you will develop an understanding of the major conceptual levers that push and pull on financial decision making and how they relate to other areas of business.  The course should also serve as a roadmap for where to further your finance education and it would be an excellent introduction of any students contemplating an MBA or Finance concentration, but who has little background in the area.",Missing,Missing,Approx. 14 hours to complete,James Weston
"Data Structure,Problem Solving,Java Programming,Object-Oriented Programming (OOP),Logic Programming,Sorting Algorithm,Trees (Data Structures),Linked List,Binary Tree,Graphs,Search Algorithm,Graph Algorithms","This Specialization covers intermediate topics in software development. You’ll learn object-oriented programming principles that will allow you to use Java to its full potential, and you’ll implement data structures and algorithms for organizing large amounts of data in a way that is both efficient and easy to work with. You’ll also practice critically evaluating your own code, and you’ll build technical communication skills that will help you prepare for job interviews and collaborative work as a software engineer. In the final Capstone Project, you’ll apply your skills to analyze data collected from a real-world (social) network. Google has contributed real-world projects and the involvement of its engineers as guest lecturers to these courses. A small, select group of top learners who complete the Specialization will be offered practice interviews with Google recruiters. Invitation to a practice interview does not guarantee an actual interview or employment.",44.0,33.0,Approx. 7 months to complete,"Mia Minnes,Leo Porter,Christine Alvarado"
"Professional,Email Writing,Communication,Writing","This is a course to help you write effective business emails in English. This course is unique because each module will provide tips on writing more professional emails as well as lessons to improve your overall English writing skills. Therefore, you will improve your grammar and vocabulary skills for email writing and also improve your cross cultural knowledge to make you more powerful and successful in your business communication. You will look at different email formats to analyze tone, formality levels, and various organizational styles. You will be able to improve your emails of introduction, announcements, requests and emails that apologize or revise a request. In this course you will write and revise 4–5 emails, complete several comprehension quizzes and review the emails of other participants.  By the end of this course, you will be able to 
•	Improve your overall written English skills
•	See differences and similarities among the different email formats 
•	Write more effective subject lines and email text
•	Apply various key language to different types of emails
•	Correct common errors such as punctuation and capitalization
•	Study tone and level of formality in emails 
•	Understand how culture affects what is appropriate in a business emails 
•	Write powerful business emails for professional needs",Missing,Missing,Approx. 14 hours to complete,Gerry Landers
"Cost-Based Pricing,Pricing Strategies,Market-Based Pricing,Customer Value-based Pricing,Strategic Management,Channel and Direct-to-Consumer Pricing,Price Discrimination,Price Elasticity Of Demand,Customer Willingness to Pay,Measuring Customer Preferences,Customer Psychology,Competitor Pricing Models","In this Specialization, we show you techniques to increase price realization and maximize profits. Learn from Boston Consulting Group's global pricing experts and University of Virginia Darden School of Business faculty, who share the frameworks, tips and tools we use in our business and research environments. We will look at pricing through BCG's proprietary and time-tested three “lenses”—cost and economics, customer value, and competition—to build your understanding of the strategic power of pricing. You’ll leave the Specialization with a portfolio-building presentation that demonstrates your ability to price strategically.",50.0,21.0,Approx. 4 months to complete,"Jean Manuel Izaret,Thomas Kohler,Ronald T. Wilcox"
"Python Syntax And Semantics,Computer Programming,Python Programming,Idle (Python)","Behind every mouse click and touch-screen tap, there is a computer program that makes things happen. This course introduces the fundamental building blocks of programming and teaches you how to write fun and useful programs using the Python language.",Missing,Missing,Approx. 25 hours to complete,"Jennifer Campbell,Paul Gries"
"Grammar,Communication,Chinese Language,Speech","Nowadays, there is an increasing number of people who are interested in Chinese culture and language. And it is useful to know about the language when coming to China for travel or business. This is an ABC Chinese course for beginners, including introduction of phonetics and daily expressions. After taking this class, learners can have a basic understanding of Chinese Mandarin and make basic conversations of daily living such as exchanging personal information, talking about daily arrangements and food, asking about price, introducing the city and the weather, telling your hobbies etc. Selected topics and situations come from real life scenarios and can be used for everyday communications. In addition to the dialogues, the selection of reading materials and practice activities will make the content as rich and varied as possible, in order to stimulate the learners’ interests. This is an elementary course on Chinese speaking. The learners don’t need to study Chinese characters, so it is easier to follow and complete this course.",Missing,Missing,Approx. 15 hours to complete,Xiaoyu Liu
"Whole Genome Sequencing,Viterbi Algorithm,Suffix Tree,Python Programming,Algorithms,Unweighted Pair Group Method with Arithmetic Mean (UPGMA),Bioinformatics,Bioinformatics Algorithms,Dynamic Programming,Graph Theory","Join Us in a Top 50 MOOC of All Time!

How do we sequence and compare genomes? How do we identify the genetic basis for disease? How do we construct an evolutionary Tree of Life for all species on Earth?

When you complete this Specialization, you will learn how to answer many questions in modern biology that have become inseparable from the computational approaches used to solve them. You will also obtain a toolkit of existing software resources built on these computational approaches and that are used by thousands of biologists every day in one of the fastest growing fields in science.

Although this Specialization centers on computational topics, you do not need to know how to program in order to complete it. If you are interested in programming, we feature an ""Honors Track"" (called ""hacker track"" in previous runs of the course). The Honors Track allows you to implement the bioinformatics algorithms that you will encounter along the way in dozens of automatically graded coding challenges. By completing the Honors Track, you will be a bioinformatics software professional!

Learn more about the Bioinformatics Specialization (including why we are wearing these crazy outfits) by watching our introductory video.

You can purchase the Specialization's print companion, Bioinformatics Algorithms: An Active Learning Approach, from the textbook website.

Our first course, ""Finding Hidden Messages in DNA"", was named a top-50 MOOC of all time by Class Central!",33.0,33.0,Approx. 9 months to complete,"Pavel  Pevzner,Phillip Compeau,Nikolay Vyahhi"
,"This specialization provides introductory knowledge about the energy industry and associated career opportunities, whether you are interested in a utility technician or utility worker role, or emerging green energy solutions. It is intended for those considering a career in the field, and people already working in the industry who have less than three years of experience and have not completed similar training. Through four courses, learners receive an overview of electric power systems, natural gas, safety practices, and the energy industry as a whole. To learn more, please watch the overview video by copying and pasting the following link into your web browser: https://www.youtube.com/watch?time_continue=2&v=2Yh9qIYiUDk.",67.0,67.0,Approx. 4 months to complete,"Ilya Grinberg,Tom Russo,Richard Stempniak,Martin Casstevens"
"Data Science,Github,R Programming,Rstudio","In this course you will get an introduction to the main tools and ideas in the data scientist's toolbox. The course gives an overview of the data, questions, and tools that data analysts and data scientists work with. There are two components to this course. The first is a conceptual introduction to the ideas behind turning data into actionable knowledge. The second is a practical introduction to the tools that will be used in the program like version control, markdown, git, GitHub, R, and RStudio.",Missing,Missing,Approx. 13 hours to complete,"Jeff Leek, PhD,Roger D. Peng, PhD,Brian Caffo, PhD"
"Artificial Intelligence (AI),Digital Design,Manufacturing Engineer,Industry 4.0","Whether you’re a high school graduate exploring manufacturing careers, or an operations manager hungry for an understanding of the newest manufacturing technologies, this specialization will provide a foundation in how digital advances are changing the landscape and capabilities of factories. Nine courses – developed with input from the manufacturing industry – touch on Industry 4.0 and its components, including digital manufacturing and design practices, the concept of the digital thread, the Internet of Things and Big Data. To learn more about the Digital Manufacturing and Design Technology specialization, please watch the overview video by copying and pasting the following link into your web browser: https://youtu.be/wETK1O9c-CA",45.0,75.0,Approx. 9 months to complete,"Amy Moore,Ken English,Sara Behdad,Shambhu Upadhyaya,Rahul Rai"
"Smart Contract,Ethereum,Blockchains,Solidity,Cryptography,Bitcoin,Cryptocurrency,Blockchain,Remix IDE,MetaMask client,Decentralized Applications,Truffle IDE","This specialization introduces blockchain, a revolutionary technology that enables peer-to-peer transfer of digital assets without any intermediaries, and is predicted to be just as impactful as the Internet. More specifically, it prepares learners to program on the Ethereum blockchain. The four courses provide learners with (i) an understanding and working knowledge of foundational blockchain concepts, (ii) a skill set for designing and implementing smart contracts, (iii) methods for developing decentralized applications on the blockchain, and (iv) information about the ongoing specific industry-wide blockchain frameworks.

The specialization covers a range of essential topics, from the cryptographic underpinnings of blockchain technology to enabling decentralized applications on a private Ethereum blockchain platform.

It is ideal for programmers and designers involved in developing and implementing blockchain applications, and anyone who is interested in understanding its potential.",56.0,20.0,Approx. 4 months to complete,Bina Ramamurthy
"Simple Algorithm,Python Programming,Problem Solving,Computation","Computational thinking is the process of approaching a problem in a systematic manner and creating and expressing a solution such that it can be carried out by a computer.  But you don't need to be a computer scientist to think like a computer scientist!  In fact, we encourage students from any field of study to take this course.  Many quantitative and data-centric problems can be solved using computational thinking and an understanding of computational thinking will give you a foundation for solving problems that have real-world, social impact.   In this course, you will learn about the pillars of computational thinking, how computer scientists develop and analyze algorithms, and how solutions can be realized on a computer using the Python programming language.  By the end of the course, you will be able to develop an algorithm and express it to the computer by writing a simple Python program. 

This course will introduce you to people from diverse professions who use computational thinking to solve problems. You will engage with a unique community of analytical thinkers and be encouraged to consider how you can make a positive social impact through computational thinking.",Missing,Missing,Approx. 17 hours to complete,"Susan DavidsonTop Instructor,Chris MurphyTop Instructor"
"Machine Learning,Tensorflow,advanced deployment,Object Detection,JavaScript,Convolutional Neural Network,TensorFlow.js,TensorFlow Lite,Mathematical Optimization,TensorFlow Serving,federated learning,TensorFlow Hub","Continue developing your skills in TensorFlow as you learn to navigate through a wide range of deployment scenarios and discover new ways to use data more effectively when training your machine learning models.

In this four-course Specialization, you’ll learn how to get your machine learning models into the hands of real people on all kinds of devices. Start by understanding how to train and run machine learning models in browsers and in mobile applications. Learn how to leverage built-in datasets with just a few lines of code, learn about data pipelines with TensorFlow data services, use APIs to control data splitting, process all types of unstructured data and retrain deployed models with user data while maintaining data privacy. Apply your knowledge in various deployment scenarios and get introduced to TensorFlow Serving, TensorFlow, Hub, TensorBoard, and more.

Industries all around the world are adopting Artificial Intelligence. This Specialization from Laurence Moroney and Andrew Ng will help you develop and deploy machine learning models across any device or platform faster and more accurately than ever.

This Specialization builds upon skills learned in the TensorFlow in Practice Specialization. We recommend learners complete that Specialization prior to enrolling in TensorFlow: Data and Deployment.",Missing,Missing,Approx. 4 months to complete,Laurence Moroney
,"The mouth is the window into human health.  This course provides an overview of dental medicine to engage, educate, excite and assist you in improving the oral health of your patients and members of your community. We will review topics in dental medicine including scope of the field, what to expect in function, and some of the many ways that dysfunction may present for different patients. This will include discussions of mouth, jaw, and tooth anatomy, pathology, and treatment. We will talk about differences between patients and the unique roles that different members of the dental field may play in treatment depending on the patient and condition. This course starts from basic concepts and proceeds to review trends in current research and technology. We offer scientific background, some skills for patient evaluation and interview, and some suggestions for further learning for those interested in or involved in dental education.",Missing,Missing,Approx. 9 hours to complete,"Dr. Uri Hangorsky,Dr. Thomas P. Sollecito,Dr. Eric Stoopler"
"Financial Accounting,Accounting,Evaluation,Business Analytics,Business Intelligence,Marketing,Marketing Strategy,Persona (User Experience),Leadership,Human Resources (HR),Organizational Culture","Para dirigir personas, equipos y proyectos con éxito, es tan importante dominar los conocimientos adecuados como estar presente en el día a día de tu empresa.

Sea cual sea el sector en el que trabajes o el cargo que ocupes, un aprendizaje básico sobre finanzas, marketing, contabilidad y otras claves de la dirección de empresas te ayudará a comprender mejor tu entorno y a tomar decisiones más acertadas. Unos conocimientos que, además, serán fundamentales para impulsar tu evolución profesional: ya sea para estudiar un MBA, optar a una promoción, iniciar tu propio proyecto emprendedor o cambiar de carrera.

Esta especialización te brindará la oportunidad de acceder a una introducción integral a la dirección de empresas, a través de cuatro disciplinas fundamentales: la contabilidad, las finanzas, el marketing y la gestión de personas. En cada curso analizarás casos reales a la vez que estudiarás los conceptos clave de cada área. Para finalizar la especialización, el curso Capstone te permitirá aplicar todo lo que has aprendido para resolver un problema empresarial real.",67.0,43.0,Approx. 6 months to complete,"Miguel Antón,Julián Villanueva,Carlos García Pont,Edi Soler,Mireia Las Heras"
,"We will introduce methods to perform systematic reviews and meta-analysis of clinical trials. We will cover how to formulate an answerable research question, define inclusion and exclusion criteria, search for the evidence, extract data, assess the risk of bias in clinical trials, and perform a meta-analysis. Upon successfully completing this course, participants will be able to:

- Describe the steps in conducting a systematic review
- Develop an answerable question using the “Participants Interventions Comparisons Outcomes” (PICO) framework
- Describe the process used to collect and extract data from reports of clinical trials
- Describe methods to critically assess the risk of bias of clinical trials
- Describe and interpret the results of meta-analyses",Missing,Missing,Approx. 13 hours to complete,"Tianjing Li, MD, MHS, PHD,Kay Dickersin, PhD"
"Video Game Development,C Sharp (C#) (Programming Language),Unity (User Interface),Game Programming","This specialization is intended for beginning programmers who want to learn how to program Unity games using C#. The first course assumes no programming experience, and throughout the 5 courses in the specialization you'll learn how to program in C# and how to use that C# knowledge to program Unity games. The C# and Unity material in the first 4 courses in the specialization is slightly more comprehensive than the content in the first 2 game programming courses at UCCS.

“Unity” is a trademark or registered trademark of Unity Technologies or its affiliates in the U.S. and elsewhere.

The courses in this specialization are independent works and are not sponsored by, authorized by, or affiliated with Unity Technologies or its affiliates",67.0,67.0,Approx. 7 months to complete,"Dr. Tim ""Dr. T"" Chamillard"
"Native Advertising,Google Ads Search Advertising,Facebook Advertising,Search Advertising,Twitter Advertising","This specialization takes a critical look at digital advertising tactics for small business. Students will learn how to generate and launch ad campaigns on small budgets with limited-to-no design skills. These courses include: 1) search (Google Ads), 2) social media (Facebook, Instagram and Twitter) and 3) native advertising (Taboola). Students who complete our search course will also gain a résumé credential through the official Google Ads Search Certification and a certification through programmatic advertising leader, The Trade Desk.",Missing,Missing,Approx. 5 months to complete,"Chris J. Vargo,Harsha Gangadharbatla"
"Digital Strategy,Open Banking,Innovation,Financial Technology,Financial Services,Business Ecosystem,Crowdfunding,Peer-To-Peer Lending","This Specialization is intended for learners that have or wants to have a career in the digital financial industries.

The Specialization explores the evolving world of finance, focusing on the changing dynamics caused by the conversion of products and services into digital goods, new customer demands and changing regulation to govern the competetive landscape - the digital transformation of finance.

You’ll learn about concepts such as digital platforms and business ecosystems, be exposed to the emerging Fintech landscape and master a new toolbox for successfully competing on innovation in the digital era of finance. In the final Capstone Project, you’ll create and defend a holistic digital transformation strategy for a real world company.

Throughout the course, the instructors will use state of art examples and share their own research from the European and North American finance industries, as well as expose practices from leading digital financial services and companies, such as MobilePay, Saxo Bank and PayPal.

The main focus in the course is on the financial sector (in particular in North America and Europe), but the course also include material of relevance for the financial trading and insurance sectors and inspiration from Africa.",54.0,25.0,Approx. 5 months to complete,"Jonas Hedman ,Stefan Henningsson"
,"The last three or four decades have seen a remarkable evolution in the institutions that comprise the modern monetary system. The financial crisis of 2007-2009 is a wakeup call that we need a similar evolution in the analytical apparatus and theories that we use to understand that system. Produced and sponsored by the Institute for New Economic Thinking, this course is an attempt to begin the process of new economic thinking by reviving and updating some forgotten traditions in monetary thought that have become newly relevant.Three features of the new system are central.

Most important, the intertwining of previously separate capital markets and money markets has produced a system with new dynamics as well as new vulnerabilities. The financial crisis revealed those vulnerabilities for all to see. The result was two years of desperate innovation by central banking authorities as they tried first this, and then that, in an effort to stem the collapse.  

Second, the global character of the crisis has revealed the global character of the system, which is something new in postwar history but not at all new from a longer time perspective.  Central bank cooperation was key to stemming the collapse, and the details of that cooperation hint at the outlines of an emerging new international monetary order. 

Third, absolutely central to the crisis was the operation of key derivative contracts, most importantly credit default swaps and foreign exchange swaps. Modern money cannot be understood separately from modern finance, nor can modern monetary theory be constructed separately from modern financial theory. That's the reason this course places dealers, in both capital markets and money markets, at the very center of the picture, as profit-seeking suppliers of market liquidity to the new system of market-based credit.",Missing,Missing,Approx. 29 hours to complete,Perry G Mehrling
"Teaching,English Language,Lesson Plan,Speech,Plan","This specialization is the second of two specializations that make up the TESOL Certificate from Arizona State University. This Specialization builds on the theories learned in TESOL Certificate, Part 1: Teach English Now! Foundational Principles. It covers the design and implementation of reading and writing, listening and speaking, and technology enriched activities, as well as a teaching practicum. In the final Capstone Project, developed by international educators and TESOL specialists at ASU’s Global Launch, you’ll apply the skills you learned by demonstrating your ability to teach through video recordings and by reflecting on your own and others’ teaching. When you complete both Specializations, you will submit your work for expert review to receive your ASU 150-hour TESOL Certificate, in addition to your Coursera certificates.",50.0,30.0,Approx. 6 months to complete,"Jessica CincoTop Instructor,Dr. Shane DixonTop Instructor,Dr. Justin ShewellTop Instructor"
"Computer Vision,Tensorflow,Machine Learning","If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This course is part of the upcoming Machine Learning in Tensorflow Specialization and will teach you best practices for using TensorFlow, a popular open-source framework for machine learning. The Machine Learning course and Deep Learning Specialization from Andrew Ng teach the most important and foundational principles of Machine Learning and Deep Learning. This new deeplearning.ai TensorFlow Specialization teaches you how to use TensorFlow to implement those principles so that you can start building and applying scalable models to real-world problems. To develop a deeper understanding of how neural networks work, we recommend that you take the Deep Learning Specialization.",Missing,Missing,Approx. 30 hours to complete,Laurence Moroney
"Django (Web Framework),Python Programming,Asynchronous I/O,Object-Oriented Programming (OOP),Socket,Multiprocessing","Программа состоит из четырех курсов, каждый из которых раскрывает определенную тему в Python. Сначала вы научитесь основным конструкциям языка и другим особенностям программирования на Python, далее углубитесь в объектно-ориентированное программирование. Научитесь создавать веб-сервисы и проводить анализ данных. Программа подойдет для студентов и профессионалов с начальными навыками программирования.",50.0,50.0,Approx. 6 months to complete,"Александр Жебрак,Максимов Егор Сергеевич,Шестаков Андрей Владимирович,Пестров Никита,Партилов Алексей,Хирьянов Тимофей Фёдорович,Абрамов Тимур,Герцев Михаил Николаевич,Опрышко Александр,Широкова Елена Сергеевна,Александр Емелин,Дмитрий Швеенков"
"Concatenation,Microsoft Excel,Consolization,Pivot Table,Pivot Chart","Spreadsheet software remains one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. In the United States alone, millions of job advertisements requiring Excel skills are posted every day. Research by Burning Glass Technologies and Capital One shows that digitals skills lead to higher income and better employment opportunities at a time when digital skills job are growing much faster than non-digital jobs.In this second course of our Excel specialization Excel Skills for Business you will build on the strong foundations of the Essentials course. Intermediate Skills I will expand your Excel knowledge to new horizons. You are going to discover a whole range of skills and techniques that will become a standard component of your everyday use of Excel. In this course, you will build a solid layer of more advanced skills so you can manage large datasets and create meaningful reports. These key techniques and tools will allow you to add a sophisticated layer of automation and efficiency to your everyday tasks in Excel.

Once again, we have brought together a great teaching team that will be with you every step of the way. Prashan and Nicky will guide you through each week (and I am even going to make a guest appearance in Week 5 to help you learn about my favourite tool in Excel - shh, no spoilers!). Work through each new challenge step-by-step and in no time you will surprise yourself by how far you have come. This time around, we are going to follow Uma's trials and tribulations as she is trying to find her feet in a new position in the fictitious company PushPin. For those of you who have done the Essentials course, you will already be familiar with the company. Working through her challenges which are all too common ones that we encounter everyday, will help you to more easily relate to the skills and techniques learned in each week and apply them to familiar and new contexts.",Missing,Missing,Approx. 18 hours to complete,A/Professor Yvonne Breyer
"Nutrition,Null Character,Physical Examination,Diets","En este curso, reconocerás una herramienta para evitar, manejar y controlar el sobrepeso y la obesidad, al destacar la importancia del autocuidado y el apoyo familiar en el manejo de este padecimiento. Te mostrará el verdadero valor de los alimentos como compañeros de tu vida, te alejará de los kilos de más y te forjará hábitos saludables que marcarán una senda de salud perdurable.",Missing,Missing,Approx. 15 hours to complete,Juan Luis Carrillo Toscano
"English Language,Clinical Experience,Vital Signs,Medical Device","Understanding the clinical terms and abbreviations commonly used during verbal or written communication in U.S. hospitals is challenging. This course is designed for U.S. health care profession students and for international students and practitioners who want to become more familiar with the language of the U.S. clinical setting.  Others, such as caregivers and medical interpreters, who wish to develop a better understanding of terms and abbreviations used by health care providers will find this course helpful. The course provides visual and auditory learning experiences to enhance the understanding of terms and abbreviations commonly encountered on a general U.S. hospital unit. All content including quizzes are available at no cost to the learner. If you need a certificate, you can apply for financial aid or pay the fee. To find out more, click Learn more and apply next to the information about Financial Aid. (Use a computer, not a mobile device, for this step.)",Missing,Missing,Approx. 22 hours to complete,"Valerie Swigart, Ph.D. R.N.,Michael Gold, Ph.D."
"Consumer Behaviour,Marketing,Consumer Neuroscience,Neuromarketing","How do we make decisions as consumers? What do we pay attention to, and how do our initial responses predict our final choices? To what extent are these processes unconscious and cannot be reflected in overt reports? This course will provide you with an introduction to some of the most basic methods in the emerging fields of consumer neuroscience and neuromarketing. You will learn about the methods employed and what they mean. You will learn about the basic brain mechanisms in consumer choice, and how to stay updated on these topics. The course will give an overview of the current and future uses of neuroscience in business.",Missing,Missing,Approx. 26 hours to complete,Thomas Zoëga Ramsøy
"Data Science,Decision Support System,Health Informatics,Health Care,Informatics,health,Digital Health,Decision Analysis,Information Technology Planning,Strategic Leadership,Knowledge Acquisition,Decision Tree","This Specialization is intended for health professionals, administrators, health IT staff, vendors, startups, and patients who need or want to participate in the health IT/informatics process. Throughout the five courses of this Specialization, you will learn about the social and technical context of health informatics problems, how to successfully implement health informatics interventions, how to design a health informatics solution for decision support, and how to answer a health informatics problem through data retrieval and analysis.",33.0,33.0,Approx. 5 months to complete,"Sam Meiselman,Hadi H. K. Kharrazi, MD, Ph.D,Harold P. Lehmann, MD, Ph.D.,Ashwini S. Davison, M.D.,Paul Nagy, PhD, FSIIM"
